questions,answers
Hoeveel patiënten wonen in Amsterdam?,SELECT COUNT(*) FROM patient WHERE PLAATS = 'Amsterdam'
Kunt u mij uiteenzetten hoeveel individuen met een medische aandoening er momenteel geregistreerd staan in Amsterdam?,SELECT COUNT(*) FROM patient WHERE PLAATS = 'Amsterdam'
Kunt u mij vertellen hoeveel patiënten er in totaal dood zijn?,SELECT COUNT(*) FROM patient WHERE OVERLEDEN = 'ja'
Hoeveel patiënten zijn overleden?,SELECT COUNT(*) FROM patient WHERE OVERLEDEN = 'ja'
Geef me een overzicht van alle koepelorganisaties die er zijn.,SELECT NAAM FROM koepelorganisatie GROUP BY NAAM
Kunt u mij alstublieft een overzicht geven van alle bestaande koepelorganisaties?,SELECT NAAM FROM koepelorganisatie GROUP BY NAAM
Ik wil een overzicht hebben van alle mogelijke zorgtrajecten,SELECT NAAM FROM zorgtraject GROUP BY NAAM
Mag ik u verzoeken een overzicht te verstrekken van alle potentiële trajecten voor zorgverlening,SELECT NAAM FROM zorgtraject GROUP BY NAAM
Welke verzekeraars zijn er in 2006 bijgekomen?,SELECT naam FROM systeemmaatschappijnl WHERE YEAR(startdatum) = '2006'
Welke verzekeringsmaatschappijen zijn toegevoegd in 2006?,SELECT naam FROM systeemmaatschappijnl WHERE YEAR(startdatum) = '2006'
Hoeveel zorgtrajecten hebben de naam 'Zorgtraject 1'?,SELECT count(*) FROM zorgtraject WHERE NAAM = 'Zorgtraject 1'
Hoeveel zorgtrajecten heten 'Zorgtraject 1'?,SELECT count(*) FROM zorgtraject WHERE NAAM = 'Zorgtraject 1'
"Geef me alle zorgtraject IDs op alfabetische volgorde van naam, aflopend.",SELECT id FROM zorgtraject ORDER BY naam DESC
"Mag ik u verzoeken om alle identificatienummers van de zorgtrajecten op een neerdalende wijze, gesorteerd op naam, aan mij te verstrekken?",SELECT id FROM zorgtraject ORDER BY naam DESC
Kun je mij een lijst van de momenteel in gebruik zijnde middelen verstrekken?,SELECT * FROM resource WHERE active = 1
Geef me alle actieve resources,SELECT * FROM resource WHERE active = 1
Geef mij de namen van de patient groepen,SELECT DISTINCT(groupname) FROM patientgroup
Zou u mij de lijst van patiëntengroepen kunnen verstrekken?,SELECT DISTINCT(groupname) FROM patientgroup
Geef me alle afspraken van het afgelopen jaar,SELECT * FROM appointment WHERE YEAR(intervalstart) = YEAR(GETDATE())
Ik wil u verzoeken mij een overzicht te verstrekken van alle afspraken die gedurende het afgelopen kalenderjaar hebben plaatsgevonden.,SELECT * FROM appointment WHERE YEAR(intervalstart) = YEAR(GETDATE())
Welke klanten verkiezen vooraf een sms te ontvangen?,SELECT * FROM patient WHERE smsherinnering = 'ja'
Welke klanten willen van te voren een sms krijgen?,SELECT * FROM patient WHERE smsherinnering = 'ja'
Welke klanten zijn uit de database gewist?,SELECT * FROM patient WHERE verwijderd = 'ja'
Welke cliënten zijn verwijderd uit de database?,SELECT * FROM patient WHERE verwijderd = 'ja'
Laat me de behandelingen zien die gesloten zijn.,SELECT * FROM behandeling WHERE status = 'gesloten'
Laat me alle gesloten behandelingen zien.,SELECT * FROM behandeling WHERE status = 'gesloten'
Toon me de extra verzekeringen.,SELECT * FROM maatschappijpakket WHERE dekkingstype = 'aanvullend'
Laat mij alle aanvullende verzekeringen zien.,SELECT * FROM maatschappijpakket WHERE dekkingstype = 'aanvullend'
"Laat me alle zorgtrajecten zien, gesorteerd op de begindatum.",SELECT * FROM zorgtraject ORDER BY startdatum
Geef alle zorgtrajecten gesorteerd op startdatum,SELECT * FROM zorgtraject ORDER BY startdatum
Haal de ID's van alle participanten op.,SELECT id FROM participant
Verstrek mij de identificatienummers van alle deelnemers.,SELECT id FROM participant
Hoe lang duurt een medicatiegesprek meestal?,SELECT standardduration FROM appointmenttype WHERE name = 'Medicatiegesprek'
Hoe lang duurt een medicatiegesprek normaal gesproken?,SELECT standardduration FROM appointmenttype WHERE name = 'Medicatiegesprek'
Geef me de ids van de productinstances waar de kosten 500 euro zijn,SELECT id FROM patientproductinstance WHERE amount = 500
Verschaf mij de identificatienummers van de productinstanties waar de kosten gelijk zijn aan vijfhonderd euro.,SELECT id FROM patientproductinstance WHERE amount = 500
Geef mij alle behandelingen die zijn gestart in 2020,SELECT * FROM behandeling WHERE year(startdatum) = 2020
Toon mij alle behandelingen die zijn aangevangen in het jaar tweeduizendtwintig.,SELECT * FROM behandeling WHERE year(startdatum) = 2020
Welke pakketten zijn er?,SELECT pakketnaam FROM maatschappijpakket GROUP BY pakketnaam
Kunt u mij een overzicht verschaffen van de verschillende pakketten?,SELECT pakketnaam FROM maatschappijpakket GROUP BY pakketnaam
Wat voor type verwijs organisaties zijn er?,SELECT DISTINCT name FROM referrerorganizationtype
Kunt u mij informeren over de diverse types van verwijsorganisaties?,SELECT DISTINCT name FROM referrerorganizationtype
Geef me alle patiëntgroepen geordend op startdatum,SELECT groupname FROM patientgroup ORDER BY datestart
Toon alle patiëntgroepen gesorteerd op begindatum.,SELECT groupname FROM patientgroup ORDER BY datestart
Geef me het aantal zpm consultaties die het type 'individual' hebben,SELECT count(*) FROM episodezpmconsultation WHERE type = 'individual'
Hoeveel individuele zpm besprekingen zijn er ,SELECT count(*) FROM episodezpmconsultation WHERE type = 'individual'
Laat me de zpm consultaties zien die in de ochtend gestart zijn.,SELECT * FROM episodezpmconsultation WHERE hour(actualstarttime) < 12
Toon mij de zorgprestatiemodel consultaties die in de ochtend zijn aangevangen.,SELECT * FROM episodezpmconsultation WHERE hour(actualstarttime) < 12
Ik wil alle klinieken in Utrecht weten,"SELECT NAAM, PLAATS FROM systeemzorginstelling WHERE LOWER(PLAATS) LIKE '%utrecht%'"
Verschaf mij een uitvoerige lijst van alle medische faciliteiten die gevestigd zijn in Utrecht,"SELECT NAAM, PLAATS FROM systeemzorginstelling WHERE LOWER(PLAATS) LIKE '%utrecht%'"
Hoe vaak is tinnitus gerapporteerd?,SELECT count(*) FROM zorgtraject WHERE LOWER(NAAM) LIKE '%tinnitus%'
In welke mate is tinnitus gerapporteerd in de database?,SELECT count(*) FROM zorgtraject WHERE LOWER(NAAM) LIKE '%tinnitus%'
Ik wil een overzicht per functie hoeveel werknemers er in dienst zijn.,"SELECT employee.function, count(employee.function) as count FROM employee GROUP BY employee.function"
Ik wil weten hoeveel werknemers er per functie zijn.,"SELECT employee.function, count(employee.function) as count FROM employee GROUP BY employee.function"
Laat me de telefoonnummers zien van patiënten met de naam 'Meis' in zorgtraject 'Zorgtraject 2'.,"SELECT patient.telefoonmobiel, patient.telefoonthuis, patient.telefoonwerk FROM zorgtraject INNER JOIN patient on patient.id = zorgtraject.patient_id WHERE zorgtraject.naam = 'Zorgtraject 2' and patient.eigennaam = 'Meis'"
"Geef me de telefoonnummers van patiënten genaamd 'Meis', die een zorgtraject genaamd 'Zorgtraject 2' hebben.","SELECT patient.telefoonmobiel, patient.telefoonthuis, patient.telefoonwerk FROM zorgtraject INNER JOIN patient on patient.id = zorgtraject.patient_id WHERE zorgtraject.naam = 'Zorgtraject 2' and patient.eigennaam = 'Meis'"
Geef me het emailadres van alle patiënten die wonen aan de Kanaalstraat die ouder zijn dan 60 jaar.,"SELECT email FROM patient WHERE ADRESSTRAATNAAM = 'Kanaalweg' and DATEDIFF(year, geboortedatum, current_date) > 60"
Zou u mij kunnen voorzien van de e-mailadressen van patiënten die ouder zijn dan zestig jaar en hun woonadres hebben aan de Kanaalstraat?,"SELECT email FROM patient WHERE ADRESSTRAATNAAM = 'Kanaalweg' and DATEDIFF(year, geboortedatum, current_date) > 60"
Wat is de verhouding man vrouw in mijn instelling?,"SELECT geslacht, count(*) FROM patient GROUP BY geslacht"
Kun je mij informeren omtrent de genderverdeling binnen mijn huidige institutionele setting?,"SELECT geslacht, count(*) FROM patient GROUP BY geslacht"
"Van welke patiënten weten we wel het bsn nummer, maar niet van welk type de identiteits identificatie is?",SELECT * FROM patient WHERE bsnvalue != '999999999' and widtype = 'none'
"Welke patiënten hebben een BSN nummer, maar waarvan we het identificatietype niet weten?",SELECT * FROM patient WHERE bsnvalue != '999999999' and widtype = 'none'
Geef mij een lijst van alle afspraken op 6 mei 2020 voor 12u.,SELECT * FROM appointment WHERE intervalstart < '2020-05-06 12:00:00' and intervalstart > '2020-05-06 00:00:00'
"Kun je mij alsjeblieft een overzicht geven van alle geplande afspraken op de ochtend van 6 mei 2020, voor 12 uur?",SELECT * FROM appointment WHERE intervalstart < '2020-05-06 12:00:00' and intervalstart > '2020-05-06 00:00:00'
Hoeveel mensen hebben een verzekering?,SELECT count(*) FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' WHERE assurantienl.verzekerd = 'ja'
Hoeveel cliënten zijn verzekerd?,SELECT count(*) FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' WHERE assurantienl.verzekerd = 'ja'
Geef me een lijst met de polisnummers van cliënten waarbij de assurantiecontrole voor 2019 is uitgevoerd.,SELECT assurantienl.polisnummer FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' WHERE YEAR(patient.covcheckdate) < '2019'
Kan ik een overzicht ontvangen van de polisnummers van patiënten waarbij de assurantiecontrole vóór het jaar 2019 heeft plaatsgevonden?,SELECT assurantienl.polisnummer FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' WHERE YEAR(patient.covcheckdate) < '2019'
Hoe oud is mijn patiënten populatie gemiddeld en hoeveel patiënten heb ik in totaal?,"SELECT AVG(DATEDIFF(year, geboortedatum, current_date)) as gemiddelde_leeftijd, count(*) as aantal_patienten FROM patient"
"Kunt u mij de gemiddelde leeftijd van mijn patiëntenpopulatie verstrekken, alsmede het totale aantal patiënten in mijn zorginstelling?","SELECT AVG(DATEDIFF(year, geboortedatum, current_date)) as gemiddelde_leeftijd, count(*) as aantal_patienten FROM patient"
Geef me een lijst van patiënten en hun zorgtraject waarbij een zorgtraject is gecanceld.,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.naam FROM zorgtraject LEFT JOIN patient on patient.id = zorgtraject.patient_id WHERE zorgtraject.status = 'cancelled'"
Kunt u mij een overzicht verschaffen van patiënten en hun respectievelijke zorgtrajecten waarbij een zorgtraject geannuleerd is?,"SELECT patient.roepnaam, patient.eigennaam, zorgtraject.naam FROM zorgtraject LEFT JOIN patient on patient.id = zorgtraject.patient_id WHERE zorgtraject.status = 'cancelled'"
Laat mij alle afmeldingen zien waar de reden ziekte was,SELECT * FROM appointmentparticipation WHERE absent = 1 and absentreason LIKE '%ziek%'
Toon mij alle afmeldingen waarbij de motivatie ziekte betrof,SELECT * FROM appointmentparticipation WHERE absent = 1 and absentreason LIKE '%ziek%'
"Laat mij het totale aantal van de verschillende dekkingstypes zien, met de meest afgenomen bovenaan","SELECT dekkingstype, count(id) FROM maatschappijpakket GROUP BY dekkingstype ORDER BY count(id) DESC"
"Verschaf mij een overzicht van de aantallen van de diverse dekkingscategorieën, gerangschikt op frequentie van voorkomen in afnemende volgorde.","SELECT dekkingstype, count(id) FROM maatschappijpakket GROUP BY dekkingstype ORDER BY count(id) DESC"
"Laat me alle type afspraken zien die langer duren dan 30 minuten, behalve evaluaties",SELECT name FROM appointmenttype WHERE standardduration = 30 and LOWER(name) NOT LIKE '%evaluatie%'
"Toon mij de verschillende soorten afspraken die een duur hebben van meer dan een half uur, met uitzondering van evaluaties.",SELECT name FROM appointmenttype WHERE standardduration = 30 and LOWER(name) NOT LIKE '%evaluatie%'
Geef mij alle zorgverleners en laat zien of ze nog werkzaam zijn bij hun praktijk,"SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk FROM systeemzorgverlener_zorginstelling LEFT JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id"
Verschaf mij een overzicht van alle zorgverleners en geef aan of zij momenteel nog actief zijn in hun praktijk.,"SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk FROM systeemzorgverlener_zorginstelling LEFT JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id"
Geef mij de voor- en achternaam van clienten die in Amsterdam wonen en vrouw zijn,"SELECT firstnames, eigennaam FROM patient WHERE plaats = 'Amsterdam' and geslacht = 'vrouw'"
Ik wil graag de namen van vrouwelijke cliënten die momenteel in Amsterdam verblijven.,"SELECT firstnames, eigennaam FROM patient WHERE plaats = 'Amsterdam' and geslacht = 'vrouw'"
Geef mij het aantal afspraken per kliniek per jaar gesorteerd op jaar,"SELECT clinic_id, year(intervalstart), count(*) FROM appointment GROUP BY clinic_id, year(intervalstart) ORDER BY year(intervalstart)"
"Verschaf me de aantallen afspraken per kliniek, geordend per jaar van afspraak.","SELECT clinic_id, year(intervalstart), count(*) FROM appointment GROUP BY clinic_id, year(intervalstart) ORDER BY year(intervalstart)"
Haal de messages van alle textmessages op waar 'bas' in voorkomt.,SELECT message FROM textmessage WHERE message LIKE '%bas%'
Verkrijg de berichten van alle tekstberichten waarin de term 'bas' aanwezig is.,SELECT message FROM textmessage WHERE message LIKE '%bas%'
Haal alle emailadressen op waar 'gmail' in voorkomt.,SELECT email FROM patient_email WHERE email LIKE '%gmail%'
Verzamel de e-mailadressen waarin het domein 'gmail' is opgenomen.,SELECT email FROM patient_email WHERE email LIKE '%gmail%'
"Geef mij de namen en accountnamen van medewerkers die gedeactiveerd zijn, samen met de datum waarop deze is gedeactiveerd","SELECT firstname, surname, abbreviation, deactivate FROM employee WHERE deactivate is not null"
"Toon me de namen en accountnamen van inactieve medewerkers, samen met de deactiveringsdatum","SELECT firstname, surname, abbreviation, deactivate FROM employee WHERE deactivate is not null"
"Geef mij alle zorgverleners, hun praktijknaam, en laat zien of ze nog werkzaam zijn bij hun praktijk","SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk, systeemzorginstelling.naam FROM systeemzorgverlener_zorginstelling INNER JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id INNER JOIN systeemzorginstelling on systeemzorgverlener_zorginstelling.systeemzorginstelling_id = systeemzorginstelling.id"
"Verschaf mij een opsomming van zorgverleners met hun respectieve praktijknamen, en geef aan of zij nog actief zijn in hun praktijk.","SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk, systeemzorginstelling.naam FROM systeemzorgverlener_zorginstelling INNER JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id INNER JOIN systeemzorginstelling on systeemzorgverlener_zorginstelling.systeemzorginstelling_id = systeemzorginstelling.id"
"Per soort kliniek, hoeveel klinieken zijn er?","SELECT zorgverlenertype, count(id) FROM kliniek WHERE bezoekplaats = 'Utrecht' GROUP BY zorgverlenertype"
Hoeveel instellingen zijn er per type kliniek geregistreerd?,"SELECT zorgverlenertype, count(id) FROM kliniek WHERE bezoekplaats = 'Utrecht' GROUP BY zorgverlenertype"
Wat is de rol van Hannah Hendriks en wat is haar contact e-mailadres?,"SELECT function, email FROM employee WHERE firstname = 'Hannah' and surname = 'Hendriks';"
Welke functie heeft gebruiker Hannah Hendriks binnen de organisatie en op welk e-mailadres kan ik haar bereiken?,"SELECT function, email FROM employee WHERE firstname = 'Hannah' and surname = 'Hendriks';"
Geef mij de namen van alle patiënten samen met de datum van hun eerste afspraak bij ons,"SELECT roepnaam, eigennaam, first_appointment_date FROM patient"
Toon mij de namen van alle cliënten en de datum van hun initiële consultatie bij onze organisatie,"SELECT roepnaam, eigennaam, first_appointment_date FROM patient"
